/*
LTJS
NOLF2 CRES
614 "Perfil"
615 "Elegir, crear o suprimir los perfiles de jugador."
616 "56k"
617 "Cable"
618 "Nombre del equipo"
619 "ADSL (Alta)"
620 "T1"
621 "T3"
622 "Ancho de banda"
623 "Recorre la configuración de ancho de banda."
624 "Puntuación:"
625 "Especifica un ancho de banda personalizado."
626 "Ancho de banda (personalizado)"
627 "Perfiles:"
628 "Reanudar la partida"
629 "Continuar partida"
630 "Modelo del equipo"
631 "Brillo"
632 "Oscilación de la cabeza"
633 "Balanceo de arma"
634 "Define la intensidad del movimiento de cabeza simulado al caminar."
635 "Define la intensidad del movimiento de arma simulado al caminar."
636 "Define la cantidad de tiempo que los mensajes permanecen en la pantalla."
637 "Duración de mensaje"
638 "No hacer caso de las provocaciones"
639 "Alterna el uso de provocaciones sonoras."
640 "Provocaciones sonoras"
641 "Alterna el uso de provocaciones sonoras."
642 "Cambiar nombre"
643 "Versión:"
644 "Menú principal"
645 "Ajusta el nivel gamma de la pantalla."
646 "Iniciar, cargar o guardar partida de un solo jugador."
647 "Iniciar una partida multijugador o definir opciones multijugador."
648 "Definir las opciones de pantalla, sonido, control, juego y rendimiento."
649 "Salir del juego."
650 "Iniciar una partida nueva."
651 "Cargar una partida guardada."
652 "Guardar la partida actual."
653 "Cargar un nivel personalizado."
654 "Crear un perfil nuevo."
655 "Volver a la pantalla anterior."
656 "Definir la dificultad del juego."
657 "Definir las opciones de pantalla."
658 "Definir opciones de audio."
659 "Definir configuraciones del controlador."
660 "Elegir renderizador."
661 "Definir la resolución de pantalla y profundidad de bit."
662 "Activar el suavizado de bordes de la pantalla completa."
663 "Definir configuración predefinida de detalle de texturas."
664 "Definir opciones de pantalla que pueden afectar al rendimiento."
665 "Centrar la vista automáticamente cuando te muevas"
666 "Alterna correr como movimiento predeterminado."
667 "Alterna el uso del punto de mira."
668 "Alterna el uso de efectos de sangre."
669 "Configura el nivel de detalle de las sombras de los personajes."
670 "Configurar el modelo utilizado para el equipo."
671 "Campaña"
672 "Equipo Azul"
673 "Elegir la campaña multijugador que se va a alojar."
674 "Texturas de detalle"
675 "Alterna el uso de texturas de detalle."
676 "Mapa del entorno"
677 "Alterna el uso de mapas de entorno."
678 "Luces dinámicas"
679 "Activa el uso de las luces dinámicas."
680 "Triple búfer"
681 "Alterna el uso de triple búfer."
682 "Pulsa Intro o haz clic con el botón izquierdo del ratón para definir un control para esta acción."
683 "Asignar teclado, ratón y acciones del controlador del juego."
684 "Definir opciones de configuración del ratón."
685 "Definir opciones de configuración del joystick o mando."
686 "Definir opciones de controles avanzadas."
687 "Restaurar los controles a los valores predeterminados."
688 "Alterna la reproducción de efectos de sonido."
689 "Definir volumen de efectos de sonido."
690 "Definir la calidad de los efectos de sonido. Esto puede afectar al rendimiento."
691 "Alternar la reproducción de música."
692 "Definir el volumen de la música."
693 "Cargar el nivel personalizado resaltado."
694 "Alternar el uso del joystick o mando."
695 "Alterna la inversión en este eje."
696 "Definir el punto muerto para este eje."
697 "Alternar entre los modos analógico y digital."
698 "Definir la sensibilidad del joystick en este eje."
699 "Alternar el uso de la corrección del centro."
700 "Alterna la inversión del ratón."
701 "Alternar el uso del ratón para mirar."
702 "Define la sensibilidad del ratón."
703 "Define la medida en que se suaviza el movimiento del ratón."
704 "Definir la acción asignada a este botón."
705 "Definir la velocidad de giro normal para los controles del teclado."
706 "Define la velocidad de giro elevada para los controles del teclado."
707 "Definir velocidad para mirar arriba y abajo para los controles de teclado."
708 "Campaña predeterminada"
709 "Definir opciones del punto de mira."
710 "Muestra la página anterior."
711 "Mostrar la página siguiente."
712 "Guardar la partida actual en la ranura de guardado rápido."
713 "Guardar la partida en esta ranura."
714 "Cargar la partida en la ranura de guardado rápido."
715 "Cargar la partida guardada en esta ranura."
716 "Cargar la partida guardada automáticamente. La partida se guarda automáticamente tras entrar en un nivel."
717 "Seleccionar campaña."
718 "Volver a la partida en curso."
719 "Continuar con la última partida guardada."
720 "Opacidad del punto de mira."
721 "Componente rojo del color del punto de mira."
722 "Componente verde del color del punto de mira."
723 "Componente azul del color del punto de mira."
724 "Definir el estilo del punto de mira que se va a utilizar."
725 "Alterna la escala dinámica del punto de mira."
726 "Volver al menú principal."
727 "Comenzar la siguiente misión."
728 "Pasar a la siguiente pantalla."
729 "Ya existe una campaña con ese nombre."
730 "No se puede llevar más munición para %1!s!!"
731 "Ya tienes %1!s!!"
732 "Configuración del jugador"
733 "Unirse."
734 "Anfitrión"
735 "Definir las opciones del jugador."
736 "Unirse a una partida multijugador."
737 "Aloja una partida multijugador nueva."
738 "> Añadir"
739 "< Eliminar"
740 "> Añadir todo"
741 "< Eliminar todo"
742 "Selecciona los niveles en los que se va a jugar la partida."
743 "Aceptar esta configuración."
744 "Escena %1!d!"
745 "Habilidades"
746 "Circular"
747 "Movimiento"
748 "Interacción"
749 "Vista"
750 "Estado"
751 "Definir opciones de configuración del teclado."
752 "Compilar()"
753 "Partida"
754 "Define opciones de juego y contenido."
755 "Subtítulos"
756 "Equipo Rojo"
757 "Reiniciar la primera misión una vez completada la última."
758 "Campañas:"
759 ".combate"
760 ".defensa"
761 ".precisión"
762 "Crear una campaña nueva."
763 "Cargar la campaña seleccionada."
764 "Alterna el uso de subtítulos."
765 "Tipo de partida"
766 "Establecer opciones para el equipo Azul"
767 "Establecer opciones para el equipo Rojo"
768 "Servidor dedicado"
769 "Alternar entre lanzar como un servidor dedicado, o no."
770 "Español"
771 "89"
772 "78"
773 "DEMOSTRACIÓN DE TECNOLOGÍA v1.0"
774 "Eliminar la campaña seleccionada."
775 "Cambiar el nombre de la campaña seleccionada."
776 "Alterna el filtro de servidores en función del número de versión."
777 "Todas las versiones"
778 "Versión actual"
779 "Rendimiento"
780 "Definir las opciones relacionadas con el rendimiento."
781 "Efectos especiales:"
782 "Define opciones de efectos especiales."
783 "Mapear relieve cuadríc. polígonos"
784 "Activa el uso del mapeado de relieve en las cuadrículas de los polígonos."
785 "Fresnel cuadrículas de polígonos"
786 "Activa el uso del fresnel en las cuadrículas de los polígonos para que los reflejos sean más realistas."
787 "Resolución de textura"
788 "Define la resolución de las texturas utilizadas en la partida."
789 "Mapeado de relieve del entorno"
790 "Activa el uso del mapeado de relieve del entorno."
791 "Filtrado bilineal"
792 "Activa el uso del filtrado bilineal en las texturas."
793 "Sombras"
794 "Alta"
795 "Baja"
796 "Carga rápida (F9)"
797 "Guardado rápido (F6)"
798 "Guardado automático"
799 " (opcional)"
800 "Ajustar la distribución de puntos de habilidad."
801 "Objetivos de misión actualizados"
802 "Reiniciar habilidades"
803 "Reiniciar la distribución de las habilidades."
804 "%1!d! de %2!d!"
805 "Sólo LAN"
806 "Usar habilidades"
807 "Utilizar punto de mira"
808 "Permite a los jugadores usar habilidades."
809 "Barra de salud, texto de munición"
810 "Texto de salud, texto de munición"
811 "Barra de salud, barra de munición"
812 "Estilo del presentador frontal de datos"
813 "Definir el estilo de la pantalla de interfaz."
814 "[Sin inventario]"
815 "Velocidad de giro de vehículo"
816 "Definir velocidad de giro para los vehículos."
817 "Volver a la partida."
818 "Filtrado trilineal"
819 "Alterna el uso del filtrado trilineal."
820 "Filtrado anisotrópico"
821 "Alterna el uso del filtrado anisotrópico."
822 "General"
823 "Trazadoras"
824 "Alterna los efectos de las trazadoras en las armas."
825 "Modo de pantalla"
826 "El servidor no responde"
827 "Los detalles no están disponibles porque el servidor del juego es una versión distinta."
828 "Cambiar modo"
829 "Sangre"
830 "Entorno"
831 "Define el nivel de detalle utilizado en el entorno incluyendo la nieve y los efectos de la hierba."
832 "Regeneración"
833 "Música"
834 "Volumen de música"
835 "Efectos de sonido"
836 "Volumen de efectos de sonido"
837 "Calidad de efectos de sonido"
838 "Ninguno"
839 "Música directa"
840 "Bajo"
841 "Medio"
842 "Alto"
843 "Personalizado"
844 "Mirar siempre con el ratón"
845 "Centrado automático"
846 "Invertir eje y"
847 "Sensibilidad del ratón"
848 "Suavizado del ratón"
849 "Botón izquierdo del ratón"
850 "Botón central del ratón"
851 "Botón derecho del ratón"
852 "Utilizar joystick / mando"
853 "Girar a la izquierda / derecha"
854 "Mirar arriba / abajo"
855 "Mover adelante / atrás"
856 "Desplazar a la izquierda / derecha"
857 "Botón %1!d! del joystick"
858 "Eje"
859 "Acción"
860 "Activa la publicación del servidor en Internet."
861 "Desplazarse"
862 "Mirar arriba / abajo (invertido)"
863 "Puerta"
864 "Ninguno"
865 "Establece la acción asociada con este eje del joystick o mando."
866 "Profundidad de bits"
867 "Suavizado de bordes"
868 "Correr siempre"
869 "Fácil"
870 "Normal"
871 "Difícil"
872 "Súper Espía"
873 "Punto de mira"
874 "Renderizador"
875 "Resolución"
876 "Azul"
877 "Controles"
878 "Cargar el perfil seleccionado."
879 "Nombre del servidor"
880 "Jugadores"
881 "Respuesta"
882 "Partida"
883 "Mapa"
884 "Nombre del jugador"
885 "Puntuación"
886 "Opción del juego"
887 "Valor"
888 "Actualizar servidores"
889 "Responder de nuevo a los servidores."
890 "Todas las partidas"
891 "Sólo combate a muerte"
892 "Sólo D.A.Ñ.O. contra UNITY"
893 "Cualquier número de jugadores"
894 "No lleno"
895 "No vacío"
896 "No vacío y no lleno"
897 "Bloquear"
898 "Misión"
899 "Clasifica los servidores según el nombre de la misión."
900 "Nombre de sesión"
901 "Opciones de anfitrión"
902 "Misiones"
903 "Iniciar"
904 "Filtros "
905 "Jugadores:"
906 "Amplía la vista para disparar con precisión y aumenta la luz para las operaciones nocturnas."
907 "Reduce el ruido de los disparos."
908 "Rojo"
909 "Ping:"
910 "Aumenta la vista para disparar con precisión."
911 "Lentes de aumento ajustables."
912 "¡Te has suicidado!"
913 "Te ha matado %1!s!"
914 "Has matado a %1!s!."
915 "%1!s! se ha suicidado."
916 "%1!s! ha matado a %2!s!"
917 "Sigilo"
918 "Afecta al volumen de las pisadas, al tiempo necesario para desaparecer en las sombras y a la capacidad para dejar atrás a los perseguidores."
919 "Aguante"
920 "Determina la resistencia y la capacidad de aguante en general ante efectos adversos de todo tipo de daños."
921 "Puntería"
922 "Afecta a la precisión de las armas, así como a la estabilidad al encuadrar objetivos."
923 "Transporte"
924 "Determina la munición total que llevas y el grado en el que afectan las armas más pesadas a tu velocidad de movimientos."
925 "Blindaje"
926 "Determina la eficacia del blindaje, así como el beneficio que obtendrás de un único chaleco blindado."
927 "Armas"
928 "Afecta a tu eficacia con las armas y a la rapidez con la que puedes desenfundarlas y recargarlas."
929 "Artilugios"
930 "Determina tu habilidad con los aparatos, así como la rapidez con la que puedes prepararlos para ser utilizados."
931 "Principiante"
932 "Aficionado"
933 "Especialista"
934 "Experto"
935 "Maestro"
936 "(Actualizar coste: %1!d!)"
937 "Actualizar a %1!s! (%2!d!)"
938 "(%1!d! puntos disponibles)"
939 "Ya dominas esta habilidad."
940 "Energía"
941 "Determina tu energía."
942 "Cooperación NOLF2"
943 "contraseña"
944 "buscar"
945 "mover cuerpo"
946 "dejar caer cuerpo"
947 "hablar"
948 "utilizar"
949 "recoger"
950 "RESTRICCIONES DE ARMAS"
951 "decodificar"
952 "soldar"
953 "decodificar"
954 "forzar"
955 "fotografiar"
956 "colocar bomba"
957 "revelar"
958 "colocar micrófono oculto"
959 "amigo"
960 "buscando"
961 "Buscar"
962 "Determina la velocidad con la que puedes buscar objetos y cuerpos."
963 "Volumen de diálogos"
964 "Definir volumen de diálogos."
965 "reanimar %1!s!"
966 "Campaña actual: %1!s!"
967 "Has evitado todo el daño."
968 "Te han alcanzado %1!d! veces."
969 "Puntería: %1!d! disparos a la cabeza."
970 "Precisión: %1!d! impactos, %2!d! disparos (%3!d! %%)"
971 "¡Te han matado!"
972 "Introduce un nombre para esta campaña:"
973 "Han matado a %1!s!."
974 "Añadir un objeto seleccionado a la lista de objetos restringidos."
975 "decodificando"
976 "soldando"
977 "decodificando"
978 "forzando"
979 "fotografiando"
980 "desactivando bomba"
981 "revelando"
982 "colocando micrófono oculto"
983 "Precisión"
984 "Bajas"
985 "Muertes"
986 "Misión:"
987 "Todo"
988 "< 100"
989 "< 300"
990 "< 500"
991 "Servidores de los filtros basados en su ping."
992 "Introduce la clave del CD-ROM"
993 "La clave del CD-ROM no es válida"
994 "Clave del CD-ROM"
995 "El valor no es válido. Introduce uno que esté entre %1!d! y %2!d!."
996 "¡No se puede llevar más munición %1!s!!"
997 "%1!s! - %2!s!"
998 "%1!d!x%2!d!x%3!d!"
999 "despertar"
1000 "Unirse a la partida"
1001 "Nombre del jugador"
1002 "Espera mientras NOLF"
1003 "genera una lista de renderizadores..."
1004 "Define el modelo de personaje que se muestra."
1005 "Define el nombre del jugador."
1006 "Ping:"
1007 "Ordenar servidores por nombre."
1008 "Ordenar servidores por número de jugadores."
1009 "Ordenar servidores por respuesta."
1010 "Ordenar jugadores por nombre."
1011 "Ordenar jugadores por puntuación."
1012 "Ordenar jugadores por respuesta."
1013 "Actualizar la lista de servidores."
1014 "Responder a todos los servidores incluidos de nuevo."
1015 "Filtra las partidas en función del tipo."
1016 "Filtrar las partidas en función del número de jugadores."
1017 "Elimina todos los objetos de la lista de restricción."
1018 "Ya tienes los %1!s!!"
1019 "¡No se puede usar %1!s!"
1020 "Elimina los objetos seleccionados de la lista de restricción."
1021 "Cambiando a munición %1!s! "
1022 "Unirse a la partida seleccionada."
1023 "Define el nombre de la sesión que se va a alojar."
1024 "Define el tipo de partida que se va a alojar."
1025 "Define las opciones de las partidas multijugador."
1026 "Define la lista de misiones para esta campaña."
1027 "Inicia el juego."
1028 "Lista de misiones disponibles."
1029 "Establece la acción asociada con este control del VOJ."
1030 "Lista de misiones que se van a utilizar para esta sesión."
1031 "Añadir la misión seleccionada a la lista de misiones."
1032 "Añadir todas las misiones a la lista de misiones."
1033 "Eliminar la misión seleccionada de la lista."
1034 "Eliminar todas las misiones de la lista."
1035 "Sincronizar volumen"
1036 "Sincroniza el cambio de pantalla al dispositivo para prevenir cortes."
1037 "Actual"
1038 "Mejorar"
1039 "Violencia baja"
1040 "desactivar"
1041 "¡Desarmado!"
1042 "Introduce una clave de CD-ROM para desbloquear los juegos de Internet."
1043 "Calidad de la música"
1044 "Establecer la calidad de la música. Afectará al rendimiento."
1045 "Si activas la calidad alta de música, el rendimiento general del juego puede reducirse. ¿Quieres activar la calidad alta de música?"
1046 "El sonido de alta calidad utiliza gran cantidad de memoria y puede afectar al rendimiento del juego. ¿Quieres activar la calidad alta de sonido?"
1047 "Modelo del jugador"
1048 "Ejecuta un nivel de muestra para probar las opciones de rendimiento."
1049 "Misiones disponibles"
1050 "Probando la configuración de rendimiento"
1051 "(Se restablecerá la resolución de pantalla original.)"
1052 "Recursos precaché"
1053 "Partidas guardadas"
1054 "Casquillos de proyectiles"
1055 "Desconectar del servidor."
1056 "Alterna la renderización de las carcasas de proyectiles del arma."
1057 "Finalizar partida"
1058 "Si activas el preguardado el juego se ejecutará con más suavidad pero aumentará los tiempos de carga y el uso de la memoria."
1059 "Restricciones de armas"
1060 "Velocidad media de constitución de las imágenes: %1!d!"
1061 "Prueba completada"
1062 "Optimización del rendimiento"
1063 "Seleccionar las opciones de rendimiento predefinidas para equipos de gama superior, media e inferior."
1064 "Detalle bajo"
1065 "Detalle medio"
1066 "Detalle alto"
1067 "Intercambio automático de armas"
1068 "Alterna la selección automática de la última arma recogida."
1069 "Iniciando siguiente nivel..."
1070 "Velocidad mínima de constitución de las imágenes: %1!d!"
1071 "Velocidad máxima de constitución de las imágenes: %1!d!"
1072 "El joystick o mando no está configurado. ¿Deseas configurarlo ahora?"
1073 "Efectos"
1074 "Controla el nivel de detalle en efectos como explosiones, restos e impactos de armas."
1075 "FPS de %1!d!%% por debajo de %2!d!% "
1076 "FPS %1!d!%% entre %2!d!% y %3!d!% "
1077 "La restauración de la configuración predeterminada anula todos los cambios realizados a la configuración de los controles. ¿Seguro que deseas continuar?"
1078 "FPS de %1!d!%% por encima de %2!d!% "
1079 "Se ha interrumpido la prueba de rendimiento."
1080 "Se ha actualizado el mensaje del día."
1081 "ERROR: error al comprobar de la versión del servidor."
1082 "Cursor de hardware"
1083 "Alterna el uso del cursor de hardware."
1084 "La activación del cursor de hardware facilita el movimiento del cursor; no obstante, algunas tarjetas gráficas no admiten el uso de un cursor de hardware. ¿Deseas activar el cursor de hardware?"
1085 "Actualizar a la versión más reciente"
1086 "Cierra el juego e intenta descargar la última versión del juego. "
1087 "Hay una versión actualizada del juego disponible."
1088 "Configurando la conexión a Internet..."
1089 "Debes introducir una clave de CD-ROM válida para albergar partidas de Internet o unirte a ellas."
1090 "descifrar / introducir tarjeta"
1091 "Grande"
1092 "Pequeño"
1093 "Unirse a la partida LAN"
1094 "¡%1!s!!"
1095 "%1!s! sin munición"
1096 "%1!s!"
1097 "%2!s! ( %1!d! )"
1098 "%1!s!"
1099 "¡Elemento de inteligencia!"
1100 "Unirse a una partida multijugador LAN."
1101 "Dirección"
1102 "- no se ha detectado ningún servidor -"
1103 "Detectando servidores..."
1104 "Conectando con el servidor"
1105 "un jugador"
1106 "Fácil: recibirás menos daño en caso de ser alcanzado y la IA será menos precisa."
1107 "Normal: recibirás algo más de daño en caso de ser alcanzado y la IA será más precisa."
1108 "Difícil: tendrás un nivel de precisión medio y recibirás daño fácilmente."
1109 "Súper Espía: la IA será muy precisa y recibirás mucho más daño."
1110 "El nivel de dificultad se puede cambiar en cualquier momento durante la misión en la pantalla OPCIONES DE LA PARTIDA."
1111 "(servidores %1!d!-%2!d!)"
1112 "Restringe el uso de ciertas armas, munición y equipo."
1113 "¡Aquí está %1!s!!"
1114 "Estado: %1!s!!"
1115 "En espera"
1116 "Preguntando a los servidores"
1117 "Validando la clave del CD-ROM"
1118 "decodificando"
1119 "Cargar las sugerencias en pantalla"
1120 "Activar la presentación de sugerencias en la pantalla de carga."
1121 "Haz clic aquí para mejorar tu habilidad en el siguiente nivel. "
1122 "ADSL (Baja)"
1123 "Circuito de la moto de nieve"
1124 "Las motos de nieve se ajustan al terreno. Si desactivas esta función puedes hacer que sea más fácil dirigirlas. "
1125 "Te recomendamos que disminuyas la configuración de detalles antes de empezar a jugar. "
1126 "Partida en pausa"
1127 "No utilizado"
1128 "Te recomendamos que aumentes la configuración de detalles antes de empezar a jugar. "
1129 "El juego debería ejecutarse de manera aceptable con la configuración de detalles actual. "
1130 "Pulsa una tecla..."
1131 "    [ vacío ]"
1132 "Pulsa Intro para continuar."
1133 "¿Seguro que deseas salir?"
1134 "¿Seguro que deseas cancelar la partida en curso?"
1135 "Cargando..."
1136 "Elementos de inteligencia:"
1137 "arriba"
1138 "abajo"
1139 "Falta el archivo %1!s!"
1140 "Te has desconectado del servidor."
1141 "El servidor te ha iniciado."
1142 "Se ha agotado el tiempo de espera de conexión."
1143 "Arma"
1144 "Tecla"
1145 "Ratón"
1146 "Joystick"
1147 "Intercambio automático de munición"
1148 "Alterna la selección automática de la última munición recogida."
1149 "Puerto de red"
1150 "Introduce el puerto de red que se va a utilizar."
1151 "Puerto"
1152 "Buscar servidores"
1153 "Buscar servidores."
1154 "Suprimir el perfil seleccionado."
1155 "Cambiar el nombre del perfil seleccionado."
1156 "¿Seguro que deseas eliminar este archivo?"
1157 "Perfil actual: %1!s!"
1158 "Introduce un nombre para este perfil:"
1159 "Pondrás fin a la partida actual. ¿Seguro que deseas continuar?"
1160 "A continuación se cargará una pequeña cinemática del juego para indicar cómo se ejecutará el juego si se utilizan las configuraciones de rendimiento actuales. Cuando se haya acabado la cinemática, se mostrará una recomendación de configuración de rendimiento. \n\nPuedes pulsar la tecla ESC en cualquier momento durante la cinemática para detener la prueba de configuración de rendimiento. "
1161 "Parámetros:"
1162 "Seleccionar"
1163 "%1!d! jugadores te están esperando."
1164 "1 jugador te está esperando."
1165 "%1!s! te está esperando."
1166 "Estás esperando a %1!d! jugadores."
1167 "Estás esperando a 1 jugador."
1168 "Estás esperando a %1!s!."
1169 "Condiciones de fin de nivel"
1170 "Define las condiciones que finalizan el mapa."
1171 "Tienes %1!d! puntos de habilidad disponibles. No podrás mejorar tus habilidades una vez que te hayas unido a una partida. ¿Seguro que no quieres gastar estos puntos? "
1172 "Escoge equipo"
1173 "Establece la puntuación que se necesita para ganar la ronda."
1174 "Escoge el equipo Azul"
1175 "Establecer el número de minutos que durará la ronda."
1176 "Número máximo de jugadores"
1177 "Define el número máximo de jugadores permitido en la sesión."
1178 "Establecer el número de rondas a jugar en un mapa antes de cambiar."
1179 "Define el porcentaje de velocidad de ejecución normal utilizado en la sesión."
1180 "Escoge el equipo Rojo"
1181 "Determina si los compañeros de equipo se pueden causar o no daño entre sí."
1182 "Selección automática"
1183 "Establece hasta dónde afectan los jugadores adicionales a la dificultad."
1184 "Soporte de armas"
1185 "Determina si las armas se reponen inmediatamente."
1186 "Deja que el servidor escoja un equipo por ti."
1187 "Unirse a este equipo."
1188 "Cancelar resurrección"
1189 "MOD"
1190 "Daño basado en la ubicación"
1191 "Modifica el daño en función de la parte del cuerpo alcanzada."
1192 "Puntuación ganadora"
1193 "Define la puntuación requerida para finalizar un mapa."
1194 "Armas permitidas"
1195 "Armas restringidas"
1196 "Se ha alcanzado la puntuación ganadora."
1197 "El equipo Azul colocó una bomba."
1198 "El equipo Rojo colocó una bomba."
1199 "> Añadir restricción"
1200 "89"
1201 "78"
1202 "TRUE"
1203 "Se ha alcanzado el límite de tiempo."
1204 "Se ha alcanzado el límite de muertes."
1205 "Nivel cancelado."
1206 "Proteger servidor"
1207 "Requiere que los jugadores introduzcan una contraseña al unirse a una sesión."
1208 "Contraseña"
1209 "Especifica la contraseña que los jugadores deben introducir para unirse a una sesión."
1210 "No se han encontrado mundos personalizados"
1211 "Los mundos personalizados no están disponibles en la demo."
1212 "Desconectado del servidor. (Nota: las partidas demo se deben alojar en servidores demo)"
1213 "información"
1214 "Esperando a otros jugadores..."
1215 "No se ha detectado ningún joystick o mando. Comprueba la configuración y conexión del mando."
1216 "No existe ninguna partida de guardado rápido."
1217 "Error al cargar el juego."
1218 "Error al guardar la partida."
1219 "No se ha podido cargar el nivel."
1220 "No se puede iniciar el sonido. Asegúrate de que la tarjeta de sonido está configurada correctamente."
1221 "Se ha producido un error no especificado."
1222 "No se puede volver a asignar una función a la tecla."
1223 "Es necesario activar los efectos de sonido para cambiar este valor."
1224 "Es necesario activar la música para cambiar este valor."
1225 "De este modo finaliza la partida actual. ¿Deseas continuar?"
1226 "Reiniciando el renderizador."
1227 "Proveedor de sonido 3D no válido."
1228 "¿Deseas sobrescribir esta partida guardada?"
1229 "Partida guardada."
1230 "Reenlazando las texturas."
1231 "Reenlazando los mapas de luces."
1232 "De este modo se apaga el servidor y se desconectan todos los clientes."
1233 "ERROR: no se puede configurar la partida en red."
