/*
LTJS
NOLF2 LAUNCHER
23 "Hiermit stellen Sie alle Konfigurationseinstellungen wieder auf die Original-Einstellungen zurück. Dazu gehören auch die Tastatur-Konfiguration, die Detailstufen und die Soundoptionen. Dies ist nützlich, wenn Sie Einstellungen verändert haben und alles wieder so haben möchten, wie es ursprünglich war. "
24 "Nur für erfahrene Benutzer."
25 "FEHLER - Die Datei \"GAME.REZ\" wurde nicht gefunden. Bitte stellen Sie sicher, dass NOLF 2 korrekt installiert ist und sich die No One Lives Forever 2-CD Nr. 1 im Laufwerk befindet."
26 "FEHLER – LITHTECH.EXE konnte nicht gestartet werden. Bitte stellen Sie sicher, dass NO ONE LIVES FOREVER 2 richtig installiert ist."
27 "Um NO ONE LIVES FOREVER 2 möglichst optimal spielen zu können, sollten Sie die Leistungseinstellung auswählen, die das Spiel zu Beginn verwenden soll. Sie können diese Einstellung später mit Hilfe der Menüs in NO ONE LIVES FOREVER 2 verändern."
28 "Niedrigere Detailstufen bieten auf Kosten der visuellen Darstellung die beste Spielperformance. Erforderliche Systemvoraussetzungen: PIII 500 MHz, 128 MB RAM, 32 MB GeForce 1 oder ähnliche Grafikkarte."
29 "Mittlere Detailstufen bieten einen guten Kompromiss zwischen Spielleistung und visueller Qualität. Empfohlene Systemvoraussetzungen: PIII 1 GHz, 256 MB RAM, 64 MB GeForce 3 oder ähnliche Grafikkarte."
30 "Höhere Detailstufen bieten bessere optische Qualität, allerdings kann die Spielleistung bei langsameren Systemen darunter leiden. Empfohlene Systemvoraussetzungen: P4 2 GHz, 256 MB RAM, 128 MB GeForce 4 Ti oder ähnliche Grafikkarte."
31 "FEHLER - Der Standalone-Server konnte nicht gestartet werden. Bitte stellen Sie sicher, dass NO ONE LIVES FOREVER 2 richtig auf Ihrem Computer installiert ist, und versuchen Sie es erneut."
32 "1.0"
33 "FEHLER - Das Spiel konnte nicht deinstalliert werden. Falls NO ONE LIVES FOREVER 2 noch installiert ist, sollten Sie die Programme Hinzufügen/Entfernen anwenden. Um das Spiel erneut zu installieren, starten Sie das Programm SETUP.EXE auf der NO ONE LIVES FOREVER 2-CD Nr. 1."
34 "http://www.lith.com"
35 "FEHLER - Eine \".avi\"-Datei konnte nicht geöffnet werden."
36 "http://www.foxinteractive.com"
37 "Sound deaktivieren."
38 "Musik deaktivieren."
39 "Filme deaktivieren."
40 "NO ONE LIVES FOREVER 2 (offizielles Demo)"
41 "Joysticks deaktivieren."
42 "Triple-Buffer deaktivieren."
43 "Hardware-Cursor deaktivieren."
44 "Animierten Ladebildschirm deaktivieren."
45 "Standard-Einstellungen wiederherstellen."
46 "Kommandozeilen-Parameter immer an das Spiel übergeben."
47 "FEHLER - Der NO ONE LIVES FOREVER 2-Registrierungsschlüssel konnte nicht angelegt werden!"
48 "NO ONE LIVES FOREVER 2 wurde erfolgreich installiert!"
49 "NO ONE LIVES FOREVER 2 wurde erfolgreich deinstalliert!"
50 "FEHLER - Ein Webbrowser konnte nicht gestartet werden!"
51 "Schieben Sie Ihre Maus über eine Option, um Hilfe dazu zu erhalten."
52 "Hiermit schalten Sie die Sound-Hardware-Unterstützung von DirectSound 3D aus."
53 "Hiermit schalten Sie die Verwendung aller Soundfilter-Effekte im Spiel aus."
54 "Hardware-Sound deaktivieren."
55 "Soundfilter deaktivieren."
56 "FEHLER - Die Datei \"LAUNCHCMDS.TXT\" konnte zum Schreiben nicht geöffnet werden. Bitte stellen Sie sicher, dass diese Datei geschrieben werden kann, und versuchen Sie es erneut."
57 "http://www.lithtech.com"
58 "http://www.sierra.de"
59 "FEHLER - Es wurden keine selbst erstellten Verzeichnisse gefunden."
