/*
LTJS
NOLF2 CRES
705 "Set the normal turning speed for keyboard controls."
706 "Set the fast turn speed for keyboard controls."
707 "Set the up/down look speed for keyboard controls."
708 "Default Campaign"
709 "Set crosshair options."
710 "Display previous page."
711 "Display next page."
712 "Save the current game in the quicksave slot."
713 "Save the game into this slot."
714 "Load the game in the quicksave slot."
715 "Load the game saved in this slot."
716 "Load the auto-saved game. The game is auto-saved after entering a level."
717 "Select campaign."
718 "Return to game in progress."
719 "Continue most recently saved game."
720 "Opacity of the crosshair."
721 "Red component of the crosshair color."
722 "Green component of the crosshair color."
723 "Blue component of the crosshair color."
724 "Set the style of crosshair to use."
725 "Toggle the dynamic scaling of the crosshair."
726 "Return to main menu."
727 "Begin next mission"
728 "Continue to next screen."
729 "A campaign of that name already exists."
730 "Can't carry any more ammo for the %1!s!!"
731 "Already have the %1!s!!"
732 "Player setup"
733 "Join"
734 "Host"
735 "Set up your player options."
736 "Join a multiplayer game."
737 "Host a new multiplayer game."
738 "> Add"
739 "< Remove"
740 "> Add All"
741 "< Remove All"
742 "Please select the levels to be played in this game."
743 "Accept these settings."
744 "Scene %1!d!"
745 "Skills"
746 "Loop"
747 "Movement"
748 "Interaction"
749 "View"
750 "Status"
751 "Set keyboard configuration options."
752 "Compile()"
753 "Game"
754 "Set gameplay and content options."
755 "Subtitles"
756 "Red team"
757 "Restart first mission after completing the last mission."
758 "Campaigns:"
759 ".combat"
760 ".defense"
761 ".accuracy"
762 "Create a new campaign."
763 "Load the selected campaign."
764 "Toggle use of subtitles."
765 "Game type"
766 "Set options for the Blue team"
767 "Set options for the Red team"
768 "Dedicated server"
769 "Toggle whether to launch as a dedicated server or not."
770 "English"
771 "89"
772 "78"
773 "TECHNOLOGY DEMO v1.0"
774 "Delete the selected campaign."
775 "Rename the selected campaign."
776 "Toggle filtering of servers based on version number."
777 "All versions"
778 "Current version"
779 "Performance"
780 "Set options related to performance."
781 "Special effects"
782 "Set special effects options."
783 "PolyGrid bumpmapping"
784 "Toggle use of bump mapping on polygrids."
785 "PolyGrid fresnel"
786 "Toggle use of fresnel on polygrids to make reflections more realistic."
787 "Texture resolution"
788 "Set the resolution of textures used in the game."
789 "Environment Bump Mapping"
790 "Toggle use of environmental bump mapping."
791 "Bilinear filtering"
792 "Toggle use of bilinear filtering on textures."
793 "Shadows"
794 "High"
795 "Low"
796 "Quick load (F9)"
797 "Quick save (F6)"
798 "Auto-save"
799 " (optional)"
800 "Adjust distribution of skill points."
801 "Mission objectives updated"
802 "Reset skills"
803 "Reset skill distribution."
804 "%1!d! of %2!d!"
805 "LAN Only"
806 "Use skills"
807 "Use crosshair"
808 "Allow players to use skills."
809 "Health bar, Ammo text"
810 "Health text, Ammo text"
811 "Health bar, Ammo bar"
812 "Heads-up display style"
813 "Set the style of the interface display."
814 "[No Inventory]"
815 "Vehicle turn speed"
816 "Set the turn speed for vehicles."
817 "Return to game."
818 "Trilinear filtering"
819 "Toggles the use of trilinear filtering."
820 "Anisotropic filtering"
821 "Toggle use of anisotropic filtering."
822 "Overall"
823 "Tracers"
824 "Toggle tracers effects on weapons."
825 "Display mode"
826 "Server not responding."
827 "Details are not available because the game server is a different version."
828 "Change mode"
829 "Blood"
830 "Environmental"
831 "Set the amount of detail used in the environment including snow and grass effects."
832 "Respawn"
833 "Music"
834 "Music volume"
835 "Sound effects"
836 "Sound effects volume"
837 "Sound effects quality"
838 "None"
839 "Direct music"
840 "Low"
841 "Medium"
842 "High"
843 "Customized"
844 "Always mouse look"
845 "Auto-center"
846 "Invert y axis"
847 "Mouse sensitivity"
848 "Mouse smoothing"
849 "Left mouse button"
850 "Middle mouse button"
851 "Right mouse button"
852 "Use joystick/gamepad"
853 "Turn left/right"
854 "Look up/down"
855 "Move ahead/back"
856 "Strafe left/right"
857 "Joystick button  %1!d!"
858 "Axis"
859 "Action"
860 "Toggle whether the server should be published to the internet."
861 "Move"
862 "Look up/down (inverted)"
863 "Look"
864 "None"
865 "Set the action associated with this joystick/gamepad axis."
866 "Bit depth"
867 "Anti-aliasing"
868 "Always run"
869 "Easy"
870 "Normal"
871 "Hard"
872 "Superspy"
873 "Crosshair"
874 "Renderer"
875 "Resolution"
876 "Blue"
877 "Controls"
878 "Load the selected profile."
879 "Server name"
880 "Players"
881 "Ping"
882 "Game"
883 "Map"
884 "Player name"
885 "Score"
886 "Game option"
887 "Value"
888 "Refresh servers"
889 "Re-Ping servers"
890 "All games"
891 "Deathmatch only"
892 "\"H.A.R.M. vs. UNITY\" only"
893 "Any number of players"
894 "Not full"
895 "Not empty"
896 "Not empty and not full"
897 "Lock"
898 "Mission"
899 "Sort servers by mission name."
900 "Session name"
901 "Host options"
902 "Missions"
903 "Launch"
904 "Filters"
905 "Players:"
906 "Magnifies view for precision shooting and provides light amplification for night operations."
907 "Reduces firing noise."
908 "Red"
909 "Ping:"
910 "Magnifies view for precision shooting."
911 "Adjustable magnifaction lenses."
912 "You killed yourself!"
913 "You were killed by %1!s!"
914 "You killed %1!s!"
915 "%1!s! committed suicide!"
916 "%1!s! killed %2!s!"
917 "Stealth"
918 "Affects footstep volume, time to disappear in shadows, and ability to lose pursuers."
919 "Stamina"
920 "Determines overall stamina and resistance to adverse effects from all damage types."
921 "Marksmanship"
922 "Affects weapon accuracy as well as stability when zoomed in."
923 "Carrying"
924 "Determines total ammunition you carry and degree that heavier weapons affect movement speed."
925 "Armor"
926 "Determines effectiveness of armor, as well as the benefit you get from a single armor vest."
927 "Weapons"
928 "Affects how effective you are with your weapons as well as how quickly you can draw and reload them."
929 "Gadgets"
930 "Determines your skill with gadgets as well as how quickly you can ready them for use."
931 "Novice"
932 "Amateur"
933 "Skilled"
934 "Expert"
935 "Master"
936 "(Upgrade cost: %1!d!)"
937 "Upgrade to %1!s! (%2!d!)"
938 "(%1!d! points available)"
939 "You have Mastered this skill."
940 "Energy"
941 "Determines your energy."
942 "NOLF 2 Cooperative"
943 "password"
944 "search"
945 "move body"
946 "drop body"
947 "talk"
948 "use"
949 "pick up"
950 "WEAPON RESTRICTIONS"
951 "decode"
952 "weld"
953 "decode"
954 "pick lock"
955 "photograph"
956 "plant bomb"
957 "reveal"
958 "plant bug"
959 "friend"
960 "searching"
961 "Search"
962 "Determines how quickly you can search items and bodies."
963 "Speech volume"
964 "Set volume of speech."
965 "revive %1!s!"
966 "Current Campaign: %1!s!"
967 "You avoided all injury."
968 "You were hit %1!d! times."
969 "Marksmanship: %1!d! Head shots."
970 "Accuracy: %1!d! Hits, %2!d! Shots (%3!d!%%)"
971 "You were killed!"
972 "Enter a name for this campaign:"
973 "%1!s! was killed!"
974 "Add selected item to the list of restricted items."
975 "decoding"
976 "welding"
977 "decoding"
978 "picking lock"
979 "photographing"
980 "defusing bomb"
981 "revealing"
982 "planting bug"
983 "Accuracy"
984 "Kills"
985 "Deaths"
986 "Mission:"
987 "All"
988 "< 100"
989 "< 300"
990 "< 500"
991 "Filters servers based on their ping."
992 "Enter CD Key"
993 "Invalid CD Key"
994 "CD Key"
995 "Invalid bandwidth. Please enter a value between %1!d! and %2!d!."
996 "Can't carry any more %1!s! ammo!"
997 "%1!s! - %2!s!"
998 "%1!d!x%2!d!x%3!d!"
999 "wake up"
1000 "Join game"
1001 "Player name"
1002 "Please wait while NOLF"
1003 "builds a list of renderers..."
1004 "Set the character model displayed."
1005 "Set the player name."
1006 "Ping:"
1007 "Sort servers by name."
1008 "Sort servers by number of players."
1009 "Sort servers by ping."
1010 "Sort players by name."
1011 "Sort players by score."
1012 "Sort players by ping."
1013 "Refresh list of servers."
1014 "Ping all listed servers again."
1015 "Filter games based on type."
1016 "Filter games based on number of players."
1017 "Remove all items from the restriction list."
1018 "You already have the %1!s!!"
1019 "Can't use the %1!s!!"
1020 "Remove the selected item from the restriction list."
1021 "Changing to %1!s! ammo"
1022 "Join the selected game."
1023 "Set the name of the session to host."
1024 "Set the type of game to host."
1025 "Set multiplayer gameplay options."
1026 "Set the list of missions for this campaign."
1027 "Start the game."
1028 "List of available missions."
1029 "Set the action associated with this POV control."
1030 "List of missions to be used for this session."
1031 "Add the selected mission to the list of missions."
1032 "Add all missions to the list of missions."
1033 "Remove the selected mission from the list."
1034 "Remove all missions from the list."
1035 "V Sync"
1036 "Synchronize the screen flip to the device to prevent shearing."
1037 "Current"
1038 "Upgrade"
1039 "Low Violence"
1040 "defuse"
1041 "Disarmed!"
1042 "Enter a CD Key to unlock internet games."
1043 "Music quality"
1044 "Set quality of music. This will affect performance."
1045 "Enabling the high quality music may decrease overall game performance. Do you wish to enable high quality music?"
1046 "High quality sounds use a large amount of memory and this may affect game performance. Do you wish to enable high quality sounds?"
1047 "Player model"
1048 "Run a sample level to test performance options."
1049 "Available missions"
1050 "Testing Performance Settings"
1051 "(Display resolution will be reset.)"
1052 "Precache Assets"
1053 "Saved games"
1054 "Shell casings"
1055 "Disconnect from Server"
1056 "Toggles the rendering of weapon shell casings."
1057 "End game"
1058 "Enabling precaching will make the game play more smoothly, but will increase load times and memory usage."
1059 "Weapons restrictions"
1060 "Ave Frame Rate: %1!d!"
1061 "Test Complete"
1062 "Performance optimization"
1063 "Select preset performance options for high, middle, and low-end systems."
1064 "Low Detail"
1065 "Medium Detail"
1066 "High Detail"
1067 "Auto-switch weapons"
1068 "Toggle the automatic selection of the most recently picked up weapon."
1069 "Starting next level..."
1070 "Min Frame Rate: %1!d!"
1071 "Max Frame Rate: %1!d!"
1072 "Your joystick or gamepad is not currently configured. Do you want to configure it now?"
1073 "Effects"
1074 "Control the amount of detail in effects such as explosions, debris and weapon impacts."
1075 "%1!d!%% below %2!d!% FPS"
1076 "%1!d!%% between %2!d!% and %3!d!% FPS"
1077 "Restoring the default settings will override all changes you have made to control configurations. Do want to continue?"
1078 "%1!d!%% above %2!d!% FPS"
1079 "Performance test aborted."
1080 "The Message of the Day has been updated."
1081 "ERROR - Server version check failed."
1082 "Hardware cursor"
1083 "Toggle use of the hardware cursor."
1084 "Enabling the hardware cursor provides smoother cursor movement, however some video cards do not support use of a hardware cursor. Do you wish to enable the hardware cursor?"
1085 "Update to latest version"
1086 "Shutdown the game and attempt to download the latest version of the game."
1087 "An updated version of the game is available."
1088 "Setting up Internet connection..."
1089 "You must enter a valid CD Key to Join or Host games on the internet."
1090 "decode / insert card"
1091 "Large"
1092 "Small"
1093 "Join LAN game"
1094 "%1!s!!"
1095 "%1!s! out of ammo"
1096 "%1!s!"
1097 "%2!s! ( %1!d! )"
1098 "%1!s!"
1099 "Intelligence item!"
1100 "Join a LAN multiplayer game."
1101 "Address"
1102 "- no servers detected -"
1103 "Detecting servers..."
1104 "Connecting to server"
1105 "a player"
1106 "Easy: you will take less damage when hit, and the AI will be far less accurate."
1107 "Normal: you will take slightly more damage when hit, and the AI are more accurate."
1108 "Hard: the AI will have average accuracy, and you will take damage easily."
1109 "Superspy: the AI will be very accurate, and you will take a lot more damage."
1110 "The level of difficulty may be changed at any time during the mission on the GAME OPTIONS screen."
1111 "(servers %1!d!-%2!d!)"
1112 "Restrict the use of certain weapons, ammo, and gear."
1113 "Found %1!s!!"
1114 "Status: %1!s!!"
1115 "Waiting"
1116 "Querying servers"
1117 "Validating CD Key"
1118 "decoding"
1119 "Load screen tips"
1120 "Toggle display of tips on the loading screen."
1121 "Click here to upgrade your skill to the next level."
1122 "DSL (Low)"
1123 "Snowmobile Contouring"
1124 "Snowmobile conforms to terrain. Turning off may ease steering."
1125 "We recommend you lower your detail settings before playing the game."
1126 "Game paused"
1127 "Unused"
1128 "We recommend you raise your detail settings before playing the game."
1129 "The game should run acceptably with your current detail settings."
1130 "Press a key..."
1131 "    [ empty ]"
1132 "Press Enter to continue."
1133 "Are you sure you want to quit?"
1134 "Are you sure you want to abort the game in progress?"
1135 "Loading..."
1136 "Intelligence Items:"
1137 "up"
1138 "down"
1139 "Missing file %1!s!"
1140 "You disconnected from the server."
1141 "The server booted you."
1142 "Connection to server timed out."
1143 "Weapon"
1144 "Key"
1145 "Mouse"
1146 "Joystick"
1147 "Auto-switch ammo"
1148 "Toggle the automatic selection of the most recently picked up ammo."
1149 "Network port"
1150 "Enter the network port to be used."
1151 "Port"
1152 "Find servers"
1153 "Search for servers."
1154 "Delete the selected profile."
1155 "Rename the selected profile."
1156 "Are you sure you want to delete this file?"
1157 "Current Profile: %1!s!"
1158 "Enter a name for this profile:"
1159 "This will end your current game. Are you sure you want to continue?"
1160 "A short in-game cinematic will now be loaded to gauge how well the game will run using the current Performance settings. When the cinematic is over, a performance setting recommendation will be displayed.\n\nYou can press the ESC key at any time during the cinematic to abort the performance settings test."
1161 "Parameters:"
1162 "Select"
1163 "%1!d! players are waiting for you."
1164 "1 player is waiting for you."
1165 "%1!s! is waiting for you."
1166 "You are waiting for %1!d! players."
1167 "You are waiting for 1 player."
1168 "You are waiting for %1!s!."
1169 "Level ending conditions"
1170 "Sets the conditions that end the map."
1171 "You have %1!d! available skill points. You will not be able to upgrade your skills once you join a game. Are you sure you want to leave these points unspent?"
1172 "Choose team"
1173 "Sets the score needed to win the round."
1174 "Choose the Blue Team"
1175 "Set the number of minutes the round will last."
1176 "Max players"
1177 "Set the maximum number of players allowed in the session."
1178 "Set the number of rounds to play on a map before switching."
1179 "Set the percentage of normal run speed used in the session."
1180 "Choose the Red Team"
1181 "Toggle whether or not teammates can damage each other."
1182 "Auto-Select"
1183 "Set how much the game's difficulty is affected by additional players."
1184 "Weapons stay"
1185 "Toggle whether weapons immediately respawn."
1186 "Let the server choose a team for you."
1187 "Join this team."
1188 "Cancel Revive"
1189 "Mod"
1190 "Location based damage"
1191 "Modifies damage based on the body part hit."
1192 "Winning score"
1193 "Set the score required to end a map."
1194 "Allowed weapons"
1195 "Restricted weapons"
1196 "Winning score reached."
1197 "The Blue team planted a bomb."
1198 "The Red team planted a bomb."
1199 "> Add restriction"
1200 "89"
1201 "78"
1202 "TRUE"
1203 "Time limit reached."
1204 "Frag limit reached."
1205 "Level aborted."
1206 "Lock server"
1207 "Requires players to enter a password when joining a session."
1208 "Password"
1209 "Specifies the password that players must enter to join a session."
1210 "No custom worlds found"
1211 "Custom worlds are not available in the demo"
1212 "Disconnected from server.  (note: demo games must be hosted by demo servers)"
1213 "info"
1214 "Waiting for other players..."
1215 "No joystick or gamepad detected.  Please check your controller configuration and connection."
1216 "No quick-save game exists."
1217 "Error loading game."
1218 "Error saving game."
1219 "Could not load level."
1220 "Could not initialize sound.  Please make sure your sound card is configured correctly."
1221 "An unspecified error occurred."
1222 "That key cannot be remapped."
1223 "Sound FX must be enabled to change this value."
1224 "Music must be enabled to change this value."
1225 "This will end your current game.  Continue?"
1226 "Reinitializing renderer"
1227 "Invalid 3D sound provider."
1228 "Do you want to overwrite this saved game?"
1229 "Game saved."
1230 "Rebinding textures."
1231 "Rebinding lightmaps."
1232 "This will shutdown the server and disconnect all clients.  Continue?"
1233 "ERROR - Unable to set up the network game."
1234 "ERROR - Unable to use the selected network service."
1235 "ERROR - Unable to access the available network services."
1236 "ERROR - Unable to join the selected game session."
1237 "ERROR - Unable to host the game session."
1238 "ERROR - Unable to initialize the networking system."
1239 "Unable to bind to the requested port."
1240 "ERROR - Unable to join because the game server is a different version or a different game."
1241 "Player"
1242 "SAY:"
1243 "Incorrect password."
1244 "You were killed!"
1245 "Quick saving..."
1246 "Unable to join. The server is full."
1247 "Unable to join because the game server is a different version. Visit www.the-operative.com for the latest product update."
1248 "%1!s! joined the game"
1249 "%1!s! left the game"
1250 "Saving game..."
1251 "You cannot save now."
1252 "Access granted"
1253 "Access denied"
1254 "Locked"
1255 "Specifies the password to login as SCMD admin."
1256 "Retrieving Message of the Day"
1257 "Successfully retrieved Message of the Day"
1258 "Error retrieving Message of the Day"
1259 "Retrieving latest version information"
1260 "Successfully retrieved latest version information"
1261 "Error retrieving latest version information"
1262 "Verifying CD key"
1263 "Successfully verified CD key"
1264 "Error verifying CD key"
1265 "Publishing server"
1266 "Successfully published server"
1267 "Error publishing server"
1268 "Removing server"
1269 "Successfully removed server"
1270 "Error removing server"
1271 "Retrieving server list"
1272 "Successfully retrieved server list"
1273 "Error retrieving server list"
1274 "Clearing request list"
1275 "Processing out of order request"
1276 "Peer list pinged successfully"
1277 "Server details queried successfully"
1278 "Server is not responding"
1279 "Client successfully validated"
1280 "Error validating client"
1281 "Server validation initialized"
1282 "Disconnected from server"
1283 "Can't connect to the server"
1284 "Forward"
1285 "Backward"
1286 "Turn left"
1287 "Turn right"
1288 "Sidestep"
1289 "Step left"
1290 "Step right"
1291 "Turn around"
1292 "Sneak"
1293 "Fire"
1294 "Action"
1295 "Jump"
1296 "Reload"
1297 "Crouch"
1298 "Next weapon"
1299 "Previous weapon"
1300 "Look up"
1301 "Look down"
1302 "Center view"
1303 "Equipment"
1304 "Mission status"
1305 "Holster weapon"
1306 "Player status"
1307 "Talk"
1308 "Alt-Fire"
1309 "Change ammo"
1310 "Inventory"
1311 "Intelligence"
1312 "Toggle Sneak"
1313 "Weapon 1"
1314 "Weapon 2"
1315 "Weapon 3"
1316 "Weapon 4"
1317 "Weapon 5"
1318 "Weapon 6"
1319 "Weapon 7"
1320 "Weapon 8"
1321 "Weapon 9"
1322 "Weapon 10"
1323 "Zoom"
1324 "Zoom out"
1325 "[unassigned]"
1326 "Sunglasses"
1327 "Compass"
1328 "Lean left"
1329 "Lean right"
1330 "Toggle Crouch"
1331 "Move body/piece"
1332 "Keychain Light"
1333 "Radio"
1334 "Last Weapon"
1335 "Forward"
1336 "Backward"
1337 "Left"
1338 "Right"
1339 "Strafe"
1340 "StrafeLeft"
1341 "StrafeRight"
1342 "TurnAround"
1343 "Speed"
1344 "Fire"
1345 "Activate"
1346 "Jump"
1347 "Reload"
1348 "Duck"
1349 "NextWeapon"
1350 "PrevWeapon"
1351 "LookUp"
1352 "LookDown"
1353 "CenterView"
1354 "Inventory"
1355 "Mission"
1356 "HolsterWeapon"
1357 "Score"
1358 "SendMessage"
1359 "Alt-Fire"
1360 "ViewKeys"
1361 "ViewIntel"
1362 "RunLock"
1363 "DuckLock"
1364 "unassigned"
1365 "NextAmmo"
1366 "ZoomIn"
1367 "ZoomOut"
1368 "NextVisMode"
1369 "CompassToggle"
1370 "LeanLeft"
1371 "LeanRight"
1372 "MoveBody"
1373 "Flashlight"
1374 "Radio"
1375 "LastWeapon"
1376 "Leave game"
1377 "AaBbCcDdFfGgHhJjKkLlMmNnPpQqRrSsTtVvWwXxYyZz"
1378 "SCMD Password"
1379 "Allows login to SCMD Admin."
1380 "NOLF 2 Deathmatch"
1381 "You tagged yourself!"
1382 "You were tagged by %1!s!"
1383 "You tagged %1!s!"
1384 "%1!s! tagged himself!"
1385 "%1!s! tagged %2!s!"
1386 "You were tagged!"
1387 "%1!s! was tagged!"
1388 "You have been banned or kicked from the server."
1389 "Score:"
1390 "Players:"
1391 "Kills:"
1392 "Tags:"
1393 "Team Say"
1394 "TeamMessage"
1395 "Core"
1396 "Transmitter"
1397 "Batteries"
1398 "%1!s! picked up the %2!s!"
1399 "%1!s! dropped the %2!s!"
1400 "%1!s! placed the %2!s!"
1401 "%1!s! stole the %2!s!"
1402 "%1!s! completed the Dooms Day Device."
1403 "The %1!s! has respawned."
1404 "Sort servers by Mod "
1405 "Mod:"
1406 "Toggle filtering of servers based on mod."
1407 "All Mods"
1408 "Retail"
1409 "Current Mod"
1410 "Unable to join because the game server is running a different Mod than your current Mod."
1411 "%1!s! changed teams to the %2!s!"
1412 "You changed teams to the %1!s!"
1413 "You will change teams when you respawn."
1414 "Frag score"
1415 "Points received for kills."
1416 "Tag score"
1417 "Points received for non-lethal knockdowns."
1418 "Revive score"
1419 "Points recevived for reviving teammates."
1420 "Completion score"
1421 "Points recevived for completing the doomsday device."
1422 "Heavy piece score"
1423 "Points recevived for placing a heavy piece of the device."
1424 "Light piece score"
1425 "Points recevived for placing a light piece of the device."
1426 "Steal piece score"
1427 "Points recevived for stealing a piece of the opponent's device."
1428 "< Remove restriction"
1429 "Add items to the restricted list."
1430 "Remove items from the restricted list."
1431 "Unable to load world resources."
2110 "Sneaking"
2111 "Hiding"
2112 "Evasion"
2113 "Health"
2114 "Endurance"
2115 "Resistance"
2116 "First Aid"
2117 "Toughness"
2118 "Accuracy"
2119 "Steadiness"
2120 "Correction"
2121 "Ammo Capacity"
2122 "Carrying"
2123 "Armor"
2124 "Repair"
2125 "Proficiency"
2126 "Efficiency"
2127 "Proficiency"
2128 "Efficiency"
2129 "Speed"
2130 "Thoroughness"
2131 "<unused>"
2132 "<unused>"
2133 "<unused>"
2134 "<unused>"
2135 "<unused>"
2150 "Reduces the amount of noise you make when running."
2151 "Reduces the time it takes for you to hide."
2152 "Improves your ability to escape from pursuers."
2153 "Increases your maximum health."
2154 "Reduces the effect of damage on your movement."
2155 "Reduces the duration of continuing damage such as poison or fire."
2156 "Increases the benefits of first aid kits."
2157 "Reduces the amount of damage you take."
2158 "Improves the precision of your shots."
2159 "Improves your ability to hold a weapon steady while using a scope."
2160 "Decreases the time needed to correct your aim after moving or firing."
2161 "Increases the amount of ammunition you can carry."
2162 "Improves your movement speed while carrying bodies."
2163 "Increases the amount of armor you can wear."
2164 "Increases the benefit you receive from armor items."
